payload_bytes,attempts,sample,elapsed_us,allocations,allocated_bytes,received_bytes,retry1_us,retry2_us
65536,1,0,623,334,1446872,65621,0,0
65536,1,1,379,189,898587,65621,0,0
65536,1,2,307,189,898587,65621,0,0
65536,1,3,300,189,898587,65621,0,0
65536,1,4,299,189,898587,65621,0,0
65536,3,0,213250,400,1636725,196863,95376,117545
65536,3,1,221338,400,1636725,196863,54435,166509
65536,3,2,234362,400,1636725,196863,60392,173631
65536,3,3,262432,400,1636725,196863,76374,185647
65536,3,4,206330,400,1636725,196863,73476,132513
1048576,1,0,4875,195,22067443,1048661,0,0
1048576,1,1,4637,195,22067443,1048661,0,0
1048576,1,2,4282,195,22067443,1048661,0,0
1048576,1,3,4226,195,22067443,1048661,0,0
1048576,1,4,4210,195,22067443,1048661,0,0
1048576,3,0,261282,418,49414653,3145983,58427,198511
1048576,3,1,267451,418,49414653,3145983,69199,193555
1048576,3,2,165295,418,49414653,3145983,53344,107264
1048576,3,3,238345,418,49414653,3145983,74336,159366
1048576,3,4,222201,418,49414653,3145983,55255,162417
