payload_bytes,attempts,sample,elapsed_us,allocations,allocated_bytes,received_bytes,retry1_us,retry2_us
65536,1,0,611,345,1577568,65621,0,0
65536,1,1,385,198,1029505,65621,0,0
65536,1,2,310,197,1029210,65621,0,0
65536,1,3,297,197,1029210,65621,0,0
65536,1,4,301,198,1029525,65621,0,0
65536,3,0,302403,428,1898179,196863,101486,200593
65536,3,1,303335,429,1898509,196863,101400,201596
65536,3,2,303439,429,1898494,196863,101529,201564
65536,3,3,303362,429,1898474,196863,101341,201619
65536,3,4,303350,428,1898179,196863,101373,201622
1048576,1,0,5714,203,24164146,1048661,0,0
1048576,1,1,5196,203,24164166,1048661,0,0
1048576,1,2,4668,203,24164131,1048661,0,0
1048576,1,3,4639,204,24164446,1048661,0,0
1048576,1,4,4642,204,24164441,1048661,0,0
1048576,3,0,311630,447,53608597,3145983,103498,203354
1048576,3,1,311643,447,53608597,3145983,103258,203434
1048576,3,2,311762,447,53608597,3145983,103267,203536
1048576,3,3,312449,446,53608267,3145983,103642,203454
1048576,3,4,310963,447,53608597,3145983,103434,202419
