
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,dynamodb,100,0,365,100
ANNOTATION_CSV,dynamodb,100,1,354,100
ANNOTATION_CSV,dynamodb,100,2,392,100
ANNOTATION_CSV,dynamodb,100,3,448,100
ANNOTATION_CSV,dynamodb,100,4,343,100
ANNOTATION_CSV,dynamodb,100,5,383,100
ANNOTATION_CSV,dynamodb,100,6,357,100
ANNOTATION_CSV,dynamodb,100,7,335,100
ANNOTATION_CSV,dynamodb,100,8,418,100
ANNOTATION_CSV,dynamodb,100,9,432,100
ANNOTATION_CSV,dynamodb,100,10,371,100
ANNOTATION_CSV,dynamodb,100,11,346,100
ANNOTATION_CSV,dynamodb,100,12,333,100
ANNOTATION_CSV,dynamodb,100,13,334,100
ANNOTATION_CSV,dynamodb,100,14,336,100
ANNOTATION_CSV,dynamodb,1000,0,300,1000
ANNOTATION_CSV,dynamodb,1000,1,286,1000
ANNOTATION_CSV,dynamodb,1000,2,277,1000
ANNOTATION_CSV,dynamodb,1000,3,257,1000
ANNOTATION_CSV,dynamodb,1000,4,297,1000
ANNOTATION_CSV,dynamodb,1000,5,440,1000
ANNOTATION_CSV,dynamodb,1000,6,333,1000
ANNOTATION_CSV,dynamodb,1000,7,359,1000
ANNOTATION_CSV,dynamodb,1000,8,303,1000
ANNOTATION_CSV,dynamodb,1000,9,360,1000
ANNOTATION_CSV,dynamodb,1000,10,375,1000
ANNOTATION_CSV,dynamodb,1000,11,332,1000
ANNOTATION_CSV,dynamodb,1000,12,352,1000
ANNOTATION_CSV,dynamodb,1000,13,364,1000
ANNOTATION_CSV,dynamodb,1000,14,332,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 113 filtered out; finished in 1.35s

