
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,dynamodb,100,0,387,100
ANNOTATION_CSV,dynamodb,100,1,361,100
ANNOTATION_CSV,dynamodb,100,2,372,100
ANNOTATION_CSV,dynamodb,100,3,431,100
ANNOTATION_CSV,dynamodb,100,4,393,100
ANNOTATION_CSV,dynamodb,100,5,425,100
ANNOTATION_CSV,dynamodb,100,6,458,100
ANNOTATION_CSV,dynamodb,100,7,402,100
ANNOTATION_CSV,dynamodb,100,8,395,100
ANNOTATION_CSV,dynamodb,100,9,387,100
ANNOTATION_CSV,dynamodb,100,10,455,100
ANNOTATION_CSV,dynamodb,100,11,450,100
ANNOTATION_CSV,dynamodb,100,12,437,100
ANNOTATION_CSV,dynamodb,100,13,381,100
ANNOTATION_CSV,dynamodb,100,14,346,100
ANNOTATION_CSV,dynamodb,1000,0,488,1000
ANNOTATION_CSV,dynamodb,1000,1,435,1000
ANNOTATION_CSV,dynamodb,1000,2,416,1000
ANNOTATION_CSV,dynamodb,1000,3,413,1000
ANNOTATION_CSV,dynamodb,1000,4,379,1000
ANNOTATION_CSV,dynamodb,1000,5,395,1000
ANNOTATION_CSV,dynamodb,1000,6,376,1000
ANNOTATION_CSV,dynamodb,1000,7,351,1000
ANNOTATION_CSV,dynamodb,1000,8,376,1000
ANNOTATION_CSV,dynamodb,1000,9,358,1000
ANNOTATION_CSV,dynamodb,1000,10,372,1000
ANNOTATION_CSV,dynamodb,1000,11,374,1000
ANNOTATION_CSV,dynamodb,1000,12,408,1000
ANNOTATION_CSV,dynamodb,1000,13,399,1000
ANNOTATION_CSV,dynamodb,1000,14,476,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 112 filtered out; finished in 7.94s

