
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,mysql,100,0,2578,100
ANNOTATION_CSV,mysql,100,1,2402,100
ANNOTATION_CSV,mysql,100,2,2410,100
ANNOTATION_CSV,mysql,100,3,2448,100
ANNOTATION_CSV,mysql,100,4,2346,100
ANNOTATION_CSV,mysql,100,5,2461,100
ANNOTATION_CSV,mysql,100,6,2410,100
ANNOTATION_CSV,mysql,100,7,2395,100
ANNOTATION_CSV,mysql,100,8,2403,100
ANNOTATION_CSV,mysql,100,9,2323,100
ANNOTATION_CSV,mysql,100,10,2516,100
ANNOTATION_CSV,mysql,100,11,2222,100
ANNOTATION_CSV,mysql,100,12,2584,100
ANNOTATION_CSV,mysql,100,13,2253,100
ANNOTATION_CSV,mysql,100,14,2711,100
ANNOTATION_CSV,mysql,1000,0,2716,1000
ANNOTATION_CSV,mysql,1000,1,2757,1000
ANNOTATION_CSV,mysql,1000,2,2569,1000
ANNOTATION_CSV,mysql,1000,3,2731,1000
ANNOTATION_CSV,mysql,1000,4,2702,1000
ANNOTATION_CSV,mysql,1000,5,2571,1000
ANNOTATION_CSV,mysql,1000,6,2741,1000
ANNOTATION_CSV,mysql,1000,7,2660,1000
ANNOTATION_CSV,mysql,1000,8,2683,1000
ANNOTATION_CSV,mysql,1000,9,2762,1000
ANNOTATION_CSV,mysql,1000,10,2784,1000
ANNOTATION_CSV,mysql,1000,11,2581,1000
ANNOTATION_CSV,mysql,1000,12,2717,1000
ANNOTATION_CSV,mysql,1000,13,2603,1000
ANNOTATION_CSV,mysql,1000,14,2665,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 113 filtered out; finished in 6.11s

