
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,mysql,100,0,1899,100
ANNOTATION_CSV,mysql,100,1,1827,100
ANNOTATION_CSV,mysql,100,2,1834,100
ANNOTATION_CSV,mysql,100,3,1852,100
ANNOTATION_CSV,mysql,100,4,1732,100
ANNOTATION_CSV,mysql,100,5,1782,100
ANNOTATION_CSV,mysql,100,6,1939,100
ANNOTATION_CSV,mysql,100,7,1809,100
ANNOTATION_CSV,mysql,100,8,1796,100
ANNOTATION_CSV,mysql,100,9,2019,100
ANNOTATION_CSV,mysql,100,10,1859,100
ANNOTATION_CSV,mysql,100,11,1775,100
ANNOTATION_CSV,mysql,100,12,1983,100
ANNOTATION_CSV,mysql,100,13,1837,100
ANNOTATION_CSV,mysql,100,14,1809,100
ANNOTATION_CSV,mysql,1000,0,2857,1000
ANNOTATION_CSV,mysql,1000,1,2864,1000
ANNOTATION_CSV,mysql,1000,2,2871,1000
ANNOTATION_CSV,mysql,1000,3,2862,1000
ANNOTATION_CSV,mysql,1000,4,2896,1000
ANNOTATION_CSV,mysql,1000,5,2809,1000
ANNOTATION_CSV,mysql,1000,6,2893,1000
ANNOTATION_CSV,mysql,1000,7,2978,1000
ANNOTATION_CSV,mysql,1000,8,2787,1000
ANNOTATION_CSV,mysql,1000,9,2772,1000
ANNOTATION_CSV,mysql,1000,10,2773,1000
ANNOTATION_CSV,mysql,1000,11,2857,1000
ANNOTATION_CSV,mysql,1000,12,2867,1000
ANNOTATION_CSV,mysql,1000,13,2753,1000
ANNOTATION_CSV,mysql,1000,14,4226,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 112 filtered out; finished in 3.22s

