
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,postgres,100,0,507,100
ANNOTATION_CSV,postgres,100,1,350,100
ANNOTATION_CSV,postgres,100,2,338,100
ANNOTATION_CSV,postgres,100,3,370,100
ANNOTATION_CSV,postgres,100,4,334,100
ANNOTATION_CSV,postgres,100,5,339,100
ANNOTATION_CSV,postgres,100,6,287,100
ANNOTATION_CSV,postgres,100,7,367,100
ANNOTATION_CSV,postgres,100,8,309,100
ANNOTATION_CSV,postgres,100,9,311,100
ANNOTATION_CSV,postgres,100,10,306,100
ANNOTATION_CSV,postgres,100,11,289,100
ANNOTATION_CSV,postgres,100,12,276,100
ANNOTATION_CSV,postgres,100,13,324,100
ANNOTATION_CSV,postgres,100,14,319,100
ANNOTATION_CSV,postgres,1000,0,363,1000
ANNOTATION_CSV,postgres,1000,1,336,1000
ANNOTATION_CSV,postgres,1000,2,314,1000
ANNOTATION_CSV,postgres,1000,3,310,1000
ANNOTATION_CSV,postgres,1000,4,338,1000
ANNOTATION_CSV,postgres,1000,5,324,1000
ANNOTATION_CSV,postgres,1000,6,312,1000
ANNOTATION_CSV,postgres,1000,7,865,1000
ANNOTATION_CSV,postgres,1000,8,337,1000
ANNOTATION_CSV,postgres,1000,9,358,1000
ANNOTATION_CSV,postgres,1000,10,319,1000
ANNOTATION_CSV,postgres,1000,11,305,1000
ANNOTATION_CSV,postgres,1000,12,304,1000
ANNOTATION_CSV,postgres,1000,13,300,1000
ANNOTATION_CSV,postgres,1000,14,299,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 113 filtered out; finished in 1.28s

