
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,postgres,100,0,1210,100
ANNOTATION_CSV,postgres,100,1,1136,100
ANNOTATION_CSV,postgres,100,2,1117,100
ANNOTATION_CSV,postgres,100,3,1118,100
ANNOTATION_CSV,postgres,100,4,1337,100
ANNOTATION_CSV,postgres,100,5,1212,100
ANNOTATION_CSV,postgres,100,6,1144,100
ANNOTATION_CSV,postgres,100,7,1022,100
ANNOTATION_CSV,postgres,100,8,1084,100
ANNOTATION_CSV,postgres,100,9,1099,100
ANNOTATION_CSV,postgres,100,10,1070,100
ANNOTATION_CSV,postgres,100,11,1113,100
ANNOTATION_CSV,postgres,100,12,1085,100
ANNOTATION_CSV,postgres,100,13,1056,100
ANNOTATION_CSV,postgres,100,14,1299,100
ANNOTATION_CSV,postgres,1000,0,1722,1000
ANNOTATION_CSV,postgres,1000,1,2265,1000
ANNOTATION_CSV,postgres,1000,2,1876,1000
ANNOTATION_CSV,postgres,1000,3,1800,1000
ANNOTATION_CSV,postgres,1000,4,1796,1000
ANNOTATION_CSV,postgres,1000,5,1840,1000
ANNOTATION_CSV,postgres,1000,6,1866,1000
ANNOTATION_CSV,postgres,1000,7,1828,1000
ANNOTATION_CSV,postgres,1000,8,1964,1000
ANNOTATION_CSV,postgres,1000,9,1820,1000
ANNOTATION_CSV,postgres,1000,10,1797,1000
ANNOTATION_CSV,postgres,1000,11,1866,1000
ANNOTATION_CSV,postgres,1000,12,1797,1000
ANNOTATION_CSV,postgres,1000,13,1710,1000
ANNOTATION_CSV,postgres,1000,14,1732,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 112 filtered out; finished in 1.58s

