
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,scylladb,100,0,322,100
ANNOTATION_CSV,scylladb,100,1,244,100
ANNOTATION_CSV,scylladb,100,2,258,100
ANNOTATION_CSV,scylladb,100,3,272,100
ANNOTATION_CSV,scylladb,100,4,252,100
ANNOTATION_CSV,scylladb,100,5,367,100
ANNOTATION_CSV,scylladb,100,6,330,100
ANNOTATION_CSV,scylladb,100,7,243,100
ANNOTATION_CSV,scylladb,100,8,270,100
ANNOTATION_CSV,scylladb,100,9,222,100
ANNOTATION_CSV,scylladb,100,10,201,100
ANNOTATION_CSV,scylladb,100,11,274,100
ANNOTATION_CSV,scylladb,100,12,206,100
ANNOTATION_CSV,scylladb,100,13,278,100
ANNOTATION_CSV,scylladb,100,14,238,100
ANNOTATION_CSV,scylladb,1000,0,391,1000
ANNOTATION_CSV,scylladb,1000,1,268,1000
ANNOTATION_CSV,scylladb,1000,2,224,1000
ANNOTATION_CSV,scylladb,1000,3,214,1000
ANNOTATION_CSV,scylladb,1000,4,282,1000
ANNOTATION_CSV,scylladb,1000,5,251,1000
ANNOTATION_CSV,scylladb,1000,6,279,1000
ANNOTATION_CSV,scylladb,1000,7,223,1000
ANNOTATION_CSV,scylladb,1000,8,186,1000
ANNOTATION_CSV,scylladb,1000,9,198,1000
ANNOTATION_CSV,scylladb,1000,10,247,1000
ANNOTATION_CSV,scylladb,1000,11,208,1000
ANNOTATION_CSV,scylladb,1000,12,199,1000
ANNOTATION_CSV,scylladb,1000,13,183,1000
ANNOTATION_CSV,scylladb,1000,14,181,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 113 filtered out; finished in 8.72s

