
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,scylladb,100,0,385,100
ANNOTATION_CSV,scylladb,100,1,368,100
ANNOTATION_CSV,scylladb,100,2,306,100
ANNOTATION_CSV,scylladb,100,3,326,100
ANNOTATION_CSV,scylladb,100,4,270,100
ANNOTATION_CSV,scylladb,100,5,244,100
ANNOTATION_CSV,scylladb,100,6,221,100
ANNOTATION_CSV,scylladb,100,7,219,100
ANNOTATION_CSV,scylladb,100,8,186,100
ANNOTATION_CSV,scylladb,100,9,179,100
ANNOTATION_CSV,scylladb,100,10,159,100
ANNOTATION_CSV,scylladb,100,11,202,100
ANNOTATION_CSV,scylladb,100,12,218,100
ANNOTATION_CSV,scylladb,100,13,217,100
ANNOTATION_CSV,scylladb,100,14,192,100
ANNOTATION_CSV,scylladb,1000,0,261,1000
ANNOTATION_CSV,scylladb,1000,1,211,1000
ANNOTATION_CSV,scylladb,1000,2,201,1000
ANNOTATION_CSV,scylladb,1000,3,218,1000
ANNOTATION_CSV,scylladb,1000,4,206,1000
ANNOTATION_CSV,scylladb,1000,5,210,1000
ANNOTATION_CSV,scylladb,1000,6,202,1000
ANNOTATION_CSV,scylladb,1000,7,183,1000
ANNOTATION_CSV,scylladb,1000,8,193,1000
ANNOTATION_CSV,scylladb,1000,9,188,1000
ANNOTATION_CSV,scylladb,1000,10,179,1000
ANNOTATION_CSV,scylladb,1000,11,256,1000
ANNOTATION_CSV,scylladb,1000,12,243,1000
ANNOTATION_CSV,scylladb,1000,13,237,1000
ANNOTATION_CSV,scylladb,1000,14,221,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 112 filtered out; finished in 16.68s

