
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,surrealdb,100,0,403,100
ANNOTATION_CSV,surrealdb,100,1,402,100
ANNOTATION_CSV,surrealdb,100,2,489,100
ANNOTATION_CSV,surrealdb,100,3,453,100
ANNOTATION_CSV,surrealdb,100,4,451,100
ANNOTATION_CSV,surrealdb,100,5,414,100
ANNOTATION_CSV,surrealdb,100,6,404,100
ANNOTATION_CSV,surrealdb,100,7,428,100
ANNOTATION_CSV,surrealdb,100,8,427,100
ANNOTATION_CSV,surrealdb,100,9,412,100
ANNOTATION_CSV,surrealdb,100,10,412,100
ANNOTATION_CSV,surrealdb,100,11,426,100
ANNOTATION_CSV,surrealdb,100,12,428,100
ANNOTATION_CSV,surrealdb,100,13,457,100
ANNOTATION_CSV,surrealdb,100,14,444,100
ANNOTATION_CSV,surrealdb,1000,0,455,1000
ANNOTATION_CSV,surrealdb,1000,1,438,1000
ANNOTATION_CSV,surrealdb,1000,2,425,1000
ANNOTATION_CSV,surrealdb,1000,3,458,1000
ANNOTATION_CSV,surrealdb,1000,4,427,1000
ANNOTATION_CSV,surrealdb,1000,5,389,1000
ANNOTATION_CSV,surrealdb,1000,6,390,1000
ANNOTATION_CSV,surrealdb,1000,7,382,1000
ANNOTATION_CSV,surrealdb,1000,8,376,1000
ANNOTATION_CSV,surrealdb,1000,9,385,1000
ANNOTATION_CSV,surrealdb,1000,10,390,1000
ANNOTATION_CSV,surrealdb,1000,11,566,1000
ANNOTATION_CSV,surrealdb,1000,12,453,1000
ANNOTATION_CSV,surrealdb,1000,13,428,1000
ANNOTATION_CSV,surrealdb,1000,14,416,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 113 filtered out; finished in 0.83s

