
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,surrealdb,100,0,494,100
ANNOTATION_CSV,surrealdb,100,1,419,100
ANNOTATION_CSV,surrealdb,100,2,432,100
ANNOTATION_CSV,surrealdb,100,3,424,100
ANNOTATION_CSV,surrealdb,100,4,461,100
ANNOTATION_CSV,surrealdb,100,5,393,100
ANNOTATION_CSV,surrealdb,100,6,370,100
ANNOTATION_CSV,surrealdb,100,7,399,100
ANNOTATION_CSV,surrealdb,100,8,421,100
ANNOTATION_CSV,surrealdb,100,9,377,100
ANNOTATION_CSV,surrealdb,100,10,385,100
ANNOTATION_CSV,surrealdb,100,11,388,100
ANNOTATION_CSV,surrealdb,100,12,444,100
ANNOTATION_CSV,surrealdb,100,13,398,100
ANNOTATION_CSV,surrealdb,100,14,399,100
ANNOTATION_CSV,surrealdb,1000,0,578,1000
ANNOTATION_CSV,surrealdb,1000,1,468,1000
ANNOTATION_CSV,surrealdb,1000,2,425,1000
ANNOTATION_CSV,surrealdb,1000,3,422,1000
ANNOTATION_CSV,surrealdb,1000,4,423,1000
ANNOTATION_CSV,surrealdb,1000,5,630,1000
ANNOTATION_CSV,surrealdb,1000,6,460,1000
ANNOTATION_CSV,surrealdb,1000,7,469,1000
ANNOTATION_CSV,surrealdb,1000,8,440,1000
ANNOTATION_CSV,surrealdb,1000,9,424,1000
ANNOTATION_CSV,surrealdb,1000,10,472,1000
ANNOTATION_CSV,surrealdb,1000,11,479,1000
ANNOTATION_CSV,surrealdb,1000,12,430,1000
ANNOTATION_CSV,surrealdb,1000,13,449,1000
ANNOTATION_CSV,surrealdb,1000,14,443,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 112 filtered out; finished in 35.90s

