
running 1 test
test middleware::audit_body_bench::benchmark_auth_body_admission ... AUTH_CSV,offered_bytes,limit_bytes,sample,polled_bytes,status,elapsed_us
AUTH_CSV,32768,65536,0,32768,404,49
AUTH_CSV,32768,65536,1,32768,404,3
AUTH_CSV,32768,65536,2,32768,404,2
AUTH_CSV,32768,65536,3,32768,404,2
AUTH_CSV,32768,65536,4,32768,404,2
AUTH_CSV,32768,65536,5,32768,404,2
AUTH_CSV,32768,65536,6,32768,404,2
AUTH_CSV,131072,65536,0,69632,413,3
AUTH_CSV,131072,65536,1,69632,413,2
AUTH_CSV,131072,65536,2,69632,413,2
AUTH_CSV,131072,65536,3,69632,413,2
AUTH_CSV,131072,65536,4,69632,413,2
AUTH_CSV,131072,65536,5,69632,413,2
AUTH_CSV,131072,65536,6,69632,413,1
AUTH_CSV,67108864,65536,0,69632,413,1
AUTH_CSV,67108864,65536,1,69632,413,1
AUTH_CSV,67108864,65536,2,69632,413,1
AUTH_CSV,67108864,65536,3,69632,413,2
AUTH_CSV,67108864,65536,4,69632,413,1
AUTH_CSV,67108864,65536,5,69632,413,1
AUTH_CSV,67108864,65536,6,69632,413,1
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 97 filtered out; finished in 0.01s

