operation,retained,payload_bytes,samples,p50_ns,p95_ns,p99_ns,alloc_calls_per_op,requested_alloc_bytes_per_op
get_latest,16,256,101,471,501,521,11,771
compare_apply_fixed_size,16,256,101,6973,11401,12464,65,11736
get_latest,128,256,101,742,772,1934,11,771
compare_apply_fixed_size,128,256,101,13165,20008,21911,68,20349
get_latest,1024,256,101,2665,2695,2725,11,771
compare_apply_fixed_size,1024,256,101,78288,82276,83678,74,112308
get_latest,16,4096,101,541,552,581,11,4611
compare_apply_fixed_size,16,4096,101,7424,11502,11973,65,38616
get_latest,128,4096,101,881,912,932,11,4611
compare_apply_fixed_size,128,4096,101,13626,19998,20238,68,47229
get_latest,1024,4096,101,2775,2825,2856,11,4611
compare_apply_fixed_size,1024,4096,101,83749,91954,93607,74,139188
get_latest,16,65536,101,1383,1413,1442,11,66051
compare_apply_fixed_size,16,65536,101,50105,56436,158460,65,468696
get_latest,128,65536,101,1613,1643,1653,11,66051
compare_apply_fixed_size,128,65536,101,56387,65093,67749,68,477309
get_latest,1024,65536,101,3497,3567,3606,11,66051
compare_apply_fixed_size,1024,65536,101,129835,140156,302212,74,569268
annotation_duplicate_rebuild,100,0,101,19076,19427,22843,64,13040
annotation_duplicate_rebuild,1000,0,101,219214,230507,235235,77,170032
annotation_duplicate_rebuild,10000,0,101,2435308,2474552,2494570,86,1389696
history_first_page,1000,256,101,6152,6362,8626,316,22798
history_deep_page,1000,256,101,7124,7224,7274,316,22798
history_first_page,10000,256,101,6091,6252,7163,316,22798
history_deep_page,10000,256,101,19177,22303,24256,316,22798
history_first_page,100000,256,101,6172,6252,6472,316,22798
history_deep_page,100000,256,101,141899,147790,151386,316,22798
