operation,retained,payload_bytes,samples,p50_ns,p95_ns,p99_ns,alloc_calls_per_op,requested_alloc_bytes_per_op
get_latest,16,256,101,571,622,631,11,787
compare_apply_fixed_size,16,256,101,2805,3396,4629,55,5696
get_latest,128,256,101,571,611,611,11,787
compare_apply_fixed_size,128,256,101,2736,3176,4920,55,5696
get_latest,1024,256,101,581,622,632,11,787
compare_apply_fixed_size,1024,256,101,2825,3206,4769,55,5696
get_latest,16,4096,101,661,691,711,11,4627
compare_apply_fixed_size,16,4096,101,2244,2535,2695,55,32576
get_latest,128,4096,101,661,722,1643,11,4627
compare_apply_fixed_size,128,4096,101,2185,2445,2535,55,32576
get_latest,1024,4096,101,781,802,841,11,4627
compare_apply_fixed_size,1024,4096,101,5561,7645,9348,55,32576
get_latest,16,65536,101,1443,1473,1483,11,66067
compare_apply_fixed_size,16,65536,101,42340,46167,49003,55,462656
get_latest,128,65536,101,1442,1473,2305,11,66067
compare_apply_fixed_size,128,65536,101,42420,44815,47600,55,462656
get_latest,1024,65536,101,1423,1473,2575,11,66067
compare_apply_fixed_size,1024,65536,101,43853,47710,58401,55,462656
annotation_duplicate_rebuild,100,0,101,18846,19186,21681,64,13040
annotation_duplicate_rebuild,1000,0,101,206520,210327,211790,77,170032
annotation_duplicate_rebuild,10000,0,101,2477151,2598239,2640640,86,1389696
history_first_page,1000,256,101,6222,6512,6742,316,22798
history_deep_page,1000,256,101,7274,7384,8356,316,22798
history_first_page,10000,256,101,6072,6202,7103,316,22798
history_deep_page,10000,256,101,19546,19987,22913,316,22798
history_first_page,100000,256,101,5711,5861,9558,316,22798
history_deep_page,100000,256,101,143101,154181,157557,316,22798
