operation,retained,payload_bytes,samples,p50_ns,p95_ns,p99_ns,alloc_calls_per_op,requested_alloc_bytes_per_op
get_latest,16,256,101,531,561,581,11,787
compare_apply_fixed_size,16,256,101,3246,6342,15379,73,7785
get_latest,128,256,101,531,571,591,11,787
compare_apply_fixed_size,128,256,101,3296,4068,7184,73,7785
get_latest,1024,256,101,541,562,581,11,787
compare_apply_fixed_size,1024,256,101,3346,4088,6592,73,7785
get_latest,16,4096,101,591,631,632,11,4627
compare_apply_fixed_size,16,4096,101,2835,3377,3497,73,42345
get_latest,128,4096,101,621,1102,1252,11,4627
compare_apply_fixed_size,128,4096,101,2955,3417,3557,73,42345
get_latest,1024,4096,101,611,642,651,11,4627
compare_apply_fixed_size,1024,4096,101,5059,6042,7073,73,42345
get_latest,16,65536,101,1402,1433,1513,11,66067
compare_apply_fixed_size,16,65536,101,28925,31569,32662,73,595305
get_latest,128,65536,101,1412,1433,1473,11,66067
compare_apply_fixed_size,128,65536,101,30298,32952,35126,73,595305
get_latest,1024,65536,101,1423,1453,1463,11,66067
compare_apply_fixed_size,1024,65536,101,29105,36980,48381,73,595305
annotation_duplicate_rebuild,100,0,101,1302,1392,1453,43,2005
annotation_duplicate_rebuild,1000,0,101,1323,1423,1473,43,2005
annotation_duplicate_rebuild,10000,0,101,1473,1573,1663,43,2005
history_first_page,1000,256,101,6232,6432,6843,316,22814
history_deep_page,1000,256,101,6161,6292,10180,316,22814
history_first_page,10000,256,101,6061,6262,8065,316,22814
history_deep_page,10000,256,101,5921,8667,10139,316,22814
history_first_page,100000,256,101,6423,6582,6703,316,22814
history_deep_page,100000,256,101,5791,7724,9378,316,22814
