
running 1 test
test benchmark_redis_ingress ... F2,kind=redis,payload=1024,sample=0,active=1,rss_kib=6748,control_ns=11320960,admitted=65,gap_notifications=959
F2,kind=redis,payload=1024,sample=1,active=1,rss_kib=7152,control_ns=11362549,admitted=65,gap_notifications=959
F2,kind=redis,payload=1024,sample=2,active=1,rss_kib=7184,control_ns=11309298,admitted=65,gap_notifications=959
F2,kind=redis,payload=1024,sample=3,active=1,rss_kib=7184,control_ns=11429185,admitted=65,gap_notifications=959
F2,kind=redis,payload=1024,sample=4,active=1,rss_kib=7188,control_ns=11297456,admitted=65,gap_notifications=959
F2,kind=redis,payload=1024,sample=5,active=1,rss_kib=7188,control_ns=11257671,admitted=65,gap_notifications=959
F2,kind=redis,payload=1024,sample=6,active=1,rss_kib=7188,control_ns=11370725,admitted=65,gap_notifications=959
F2,kind=redis,payload=1024,sample=7,active=1,rss_kib=7188,control_ns=11272499,admitted=65,gap_notifications=959
F2,kind=redis,payload=1024,sample=8,active=1,rss_kib=7192,control_ns=11376435,admitted=65,gap_notifications=959
F2,kind=redis,payload=16384,sample=0,active=1,rss_kib=8392,control_ns=10400361,admitted=65,gap_notifications=959
F2,kind=redis,payload=16384,sample=1,active=1,rss_kib=8432,control_ns=11360986,admitted=65,gap_notifications=959
F2,kind=redis,payload=16384,sample=2,active=1,rss_kib=8432,control_ns=11345516,admitted=65,gap_notifications=959
F2,kind=redis,payload=16384,sample=3,active=1,rss_kib=8432,control_ns=11300751,admitted=65,gap_notifications=959
F2,kind=redis,payload=16384,sample=4,active=1,rss_kib=8432,control_ns=10393608,admitted=65,gap_notifications=959
F2,kind=redis,payload=16384,sample=5,active=1,rss_kib=8444,control_ns=11332983,admitted=65,gap_notifications=959
F2,kind=redis,payload=16384,sample=6,active=1,rss_kib=8432,control_ns=11284882,admitted=65,gap_notifications=959
F2,kind=redis,payload=16384,sample=7,active=1,rss_kib=8432,control_ns=11411641,admitted=65,gap_notifications=959
F2,kind=redis,payload=16384,sample=8,active=1,rss_kib=8432,control_ns=11306893,admitted=65,gap_notifications=959
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 3 filtered out; finished in 7.90s

