
running 1 test
test benchmark_redis_ingress ... F2,kind=redis,payload=1024,sample=0,active=1024,rss_kib=13472,control_ns=11258672,admitted=1024,gap_notifications=0
F2,kind=redis,payload=1024,sample=1,active=1024,rss_kib=14948,control_ns=11337101,admitted=1024,gap_notifications=0
F2,kind=redis,payload=1024,sample=2,active=1024,rss_kib=15920,control_ns=11326139,admitted=1024,gap_notifications=0
F2,kind=redis,payload=1024,sample=3,active=1024,rss_kib=15920,control_ns=10332933,admitted=1024,gap_notifications=0
F2,kind=redis,payload=1024,sample=4,active=1024,rss_kib=15924,control_ns=11286125,admitted=1024,gap_notifications=0
F2,kind=redis,payload=1024,sample=5,active=1024,rss_kib=16176,control_ns=11296243,admitted=1024,gap_notifications=0
F2,kind=redis,payload=1024,sample=6,active=1024,rss_kib=16176,control_ns=11328645,admitted=1024,gap_notifications=0
F2,kind=redis,payload=1024,sample=7,active=1024,rss_kib=16196,control_ns=11282978,admitted=1024,gap_notifications=0
F2,kind=redis,payload=1024,sample=8,active=1024,rss_kib=16196,control_ns=11351328,admitted=1024,gap_notifications=0
F2,kind=redis,payload=16384,sample=0,active=1024,rss_kib=45820,control_ns=11310209,admitted=1024,gap_notifications=0
F2,kind=redis,payload=16384,sample=1,active=1024,rss_kib=46580,control_ns=11384881,admitted=1024,gap_notifications=0
F2,kind=redis,payload=16384,sample=2,active=1024,rss_kib=46580,control_ns=11395160,admitted=1024,gap_notifications=0
F2,kind=redis,payload=16384,sample=3,active=1024,rss_kib=46580,control_ns=11313175,admitted=1024,gap_notifications=0
F2,kind=redis,payload=16384,sample=4,active=1024,rss_kib=46580,control_ns=11338624,admitted=1024,gap_notifications=0
F2,kind=redis,payload=16384,sample=5,active=1024,rss_kib=46580,control_ns=11337101,admitted=1024,gap_notifications=0
F2,kind=redis,payload=16384,sample=6,active=1024,rss_kib=46580,control_ns=11316472,admitted=1024,gap_notifications=0
F2,kind=redis,payload=16384,sample=7,active=1024,rss_kib=46580,control_ns=11281104,admitted=1024,gap_notifications=0
F2,kind=redis,payload=16384,sample=8,active=1024,rss_kib=46580,control_ns=11316442,admitted=1024,gap_notifications=0
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 3 filtered out; finished in 4.27s

