probe=current_source_conflation_extraction_component; profile=rustc-opt3; samples=9; iterations=20; no_network
payload_bytes=1062 subscribers=1 variant=repeated ns_min=203 median=207 max=1247
payload_bytes=1062 subscribers=1 variant=once ns_min=204 median=204 max=214
payload_bytes=1062 subscribers=100 variant=repeated ns_min=20389 median=20952 max=22488
payload_bytes=1062 subscribers=100 variant=once ns_min=239 median=240 max=245
payload_bytes=1062 subscribers=1000 variant=repeated ns_min=209294 median=210473 max=219451
payload_bytes=1062 subscribers=1000 variant=once ns_min=400 median=401 max=416
payload_bytes=16422 subscribers=1 variant=repeated ns_min=1391 median=1393 max=2435
payload_bytes=16422 subscribers=1 variant=once ns_min=1388 median=1392 max=1712
payload_bytes=16422 subscribers=100 variant=repeated ns_min=138776 median=139637 max=142597
payload_bytes=16422 subscribers=100 variant=once ns_min=1396 median=1398 max=1406
payload_bytes=16422 subscribers=1000 variant=repeated ns_min=1387809 median=1390558 max=1401516
payload_bytes=16422 subscribers=1000 variant=once ns_min=1574 median=1576 max=1586
payload_bytes=65574 subscribers=1 variant=repeated ns_min=5461 median=5466 max=7051
payload_bytes=65574 subscribers=1 variant=once ns_min=5461 median=5465 max=5658
payload_bytes=65574 subscribers=100 variant=repeated ns_min=547908 median=548430 max=548780
payload_bytes=65574 subscribers=100 variant=once ns_min=5485 median=5491 max=5672
payload_bytes=65574 subscribers=1000 variant=repeated ns_min=5481466 median=5485384 max=5629214
payload_bytes=65574 subscribers=1000 variant=once ns_min=5682 median=5688 max=5894
