operation,retained,payload_bytes,samples,p50_ns,p95_ns,p99_ns,alloc_calls_per_op,requested_alloc_bytes_per_op
get_latest,16,256,101,481,510,521,11,771
compare_apply_fixed_size,16,256,101,7024,11302,11712,65,11736
get_latest,128,256,101,742,772,792,11,771
compare_apply_fixed_size,128,256,101,13135,20028,22142,68,20349
get_latest,1024,256,101,2645,2705,2745,11,771
compare_apply_fixed_size,1024,256,101,77807,86303,94268,74,112308
get_latest,16,4096,101,531,551,591,11,4611
compare_apply_fixed_size,16,4096,101,7845,11391,11773,65,38616
get_latest,128,4096,101,862,902,911,11,4611
compare_apply_fixed_size,128,4096,101,14317,19887,23604,68,47229
get_latest,1024,4096,101,2735,2805,5130,11,4611
compare_apply_fixed_size,1024,4096,101,82085,91153,94669,74,139188
get_latest,16,65536,101,1362,1783,1843,11,66051
compare_apply_fixed_size,16,65536,101,47941,61096,151927,65,468696
get_latest,128,65536,101,1563,1603,1604,11,66051
compare_apply_fixed_size,128,65536,101,53531,59973,70353,68,477309
get_latest,1024,65536,101,3426,3467,3486,11,66051
compare_apply_fixed_size,1024,65536,101,127440,143000,326677,74,569268
annotation_duplicate_rebuild,100,0,101,18785,19397,22713,64,13040
annotation_duplicate_rebuild,1000,0,101,216349,226559,230947,77,170032
annotation_duplicate_rebuild,10000,0,101,2441333,2512348,2525061,86,1389696
history_first_page,1000,256,101,6032,6162,6191,316,22798
history_deep_page,1000,256,101,7023,7184,10910,316,22798
history_first_page,10000,256,101,6001,6111,6723,316,22798
history_deep_page,10000,256,101,19056,20278,26621,316,22798
history_first_page,100000,256,101,6151,6272,7033,316,22798
history_deep_page,100000,256,101,141187,147499,169830,316,22798
